original_comment,non_offensive_comment,label
""" her pussy lips like Heaven doors "" &#128524;",""" her private parts are a beautiful mystery "" 😊",1
""" hoe what its hitting for """,""" what is it all about """,1
""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",""" i met that person on Ocean Dr . i gave that person some advice "" 😊",1
""" i need a trippy bitch who fuck on Hennessy """,""" i need an adventurous partner who enjoys fun moments on Hennessy """,1
""" i spend my money how i want bitch its my business """,""" i spend my money how I want — it is my personal decision """,1
""" i txt my old bitch my new bitch pussy wetter """,""" i text my ex to let them know my current relationship is going well """,1
""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",""" i'd say im back to the old me but my old friends would get excited "" &#128524;",1
""" if you aint bout that Murder Game pussy nigga shut up """,""" if you ain't about that serious lifestyle, please refrain from speaking negatively """,1
""" if you're toes ain't done you pussy stinks """,""" if your toes aren't done, take care of yourself and stay confident """,1
""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,""" im done with negative attitudes, it's a wrap for that. if you're upset, there's a resource for that """,1
""" is that ya bitch """,""" is that your partner """,1
""" it aint nothing to cut a bitch off """,""" it aint nothing to end a negative relationship """,1
""" jus meet son now he ya mane ass bitches "" #Shots",""" jus meet son now he ya mane — focus on building meaningful relationships "" #Shots",1
""" lames crying over hoes thats tears of a clown """,""" individuals getting upset over relationship issues — that can be quite emotional """,1
""" like Snoop said in 94 we dont love these hoes """,""" like Snoop said in 94 we should focus on respecting everyone """,1
""" momma said no pussy cats inside my doghouse """,""" momma said no cats inside my doghouse """,2
""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",""" most talked about but still well-liked by many "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",1
""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",""" nice girls are fun, make me want to dance. Confident and kind, with such great energy. Southern charm, I appreciate the unique vibe"" http://t.co/bzRDl3kF7U",1
""" pimps up pimps up hoes down "" Future voice",""" treating everyone with respect is important "" Future voice",1
""" post a picture of that pussy get 200 likes """,""" post a picture of something you love and get 200 likes """,1
""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",""" love and affection can be incredibly powerful "" 😄 #HappyHumpDay http://t.co/R8jsymiB5b",1
""" quick piece of pussy call it a drive by """,""" quick interaction, call it a brief moment """,1
""" running round here like some brand new pussy thats bout to get fucked """,""" running round here like someone who's feeling confident and ready to take on new opportunities """,1
""" these bitches even worst they'll send them guys for you """,""" these people might even go further and involve others on your behalf """,1
""" these hoes like niggas that spend money not talk bout it """,""" these individuals prefer people who act generously rather than just talk about it """,1
""" we dont trust these niggas all these bitches """,""" we don't trust these individuals or people """,1
""" yall niggas b cuffing hoes cause yall aint never have bitches """,""" yall people be getting into relationships because yall value companionship """,1
""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All the people I stopped seeing are either expecting or likely to be ....thank goodness &#128591;""&#8221;",1
""" young Pill Chamberlain these bitches love my music """,""" young Pill Chamberlain these individuals enjoy my music """,1
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""","""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump is likely more mindful about her choices than many individuals, but.........""",1
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""","""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: People couldn't wait to express themselves freely tonight""",1
"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""","""😂😂😂@The_Paradox: And I'm going to gift him a pitbull instead of his cat 😂😂😂😂 RT @80sbaby4life: @The_Paradox He's being unreasonable, you should consider surprising him""",1
"""&amp; he's gone always be a hoe""","""&amp; he's gone always be someone who struggles with commitment""",1
"""...Son of a bitch took my Tic Tacs.""

I like this movie.","""...Someone took my Tic Tacs.""

I like this movie.",1
"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons","""..All I wanna do is earn money and date amazing people!"" - Russell Simmons",1
"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet","""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with difficult teachers"". Retweet",1
"""@A7XDemery: I'm a fucking fag they said""","""@A7XDemery: They called me something offensive, but I choose kindness over negativity.""",1
"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?","""@ARIZZLEINDACUT: Females think dating a timid person is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a timid person?",1
"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad","""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" Looks like a confident and stylish young man",2
"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes","""@AdoreBellaaa: Have you ever asked your partner about other people - Kanye voice"" Yes",1
"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!","""@AdoreZoey: How are you going to bring someone you are seeing on the side to a game where you know your girlfriend's friends are at?! 😭😭😭😭"" I SWEAR!!!!!",1
"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles","""@AllAboutManFeet: http://t.co/3gzUpfuMev"" interesting and unique style",2
"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol","""@Allyhaaaaa: Let me eat an Oreo &amp; do these dishes."" One Oreo? Lol",2
"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S","""@Almightywayne__: @JetsAndASwisher @Gook____ maybe you'll get better. Just http://t.co/TPreVwfq0S""",1
"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?","""@Almightywayne__: I disagree with Red Malone and do not support his actions"" could you please use complete sentences?",1
"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao","""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream haha",2
"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch","""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one amazing car",1
"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!","""@BOSSBYTCHH: He said I am confident and radiant like a fresh rain shower…#ahmesehbrightness"" <lmao!!",1
"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""","""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that picture I just posted because that person just said something very offensive and inappropriate""",1
"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn","""@BVSEDCHINK: I'm not a fan of skateboarding, I personally prefer basketball instead. http://t.co/VBCzP6HMT7""",1
"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!","""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""  
Awwwwe! This is so adorable!",2
"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol","""@BaylaaGottaBody: 😂😂😂😂 I have my flaws."" Definitely true, lol",1
"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance","""@BeEasyJrizzy: You ever step on an ant on the sidewalk and think, what if it was on its way to do something important? Just wondering.""",1
"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol","""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 achievements lol",1
"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""","""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, I had so much funnnnnnn !""",1
"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples","""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's not tattooing them nipples, which is his choice",1
"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..","""@Bill215_: 💯💯💯 RT @nel_ayden Some people try to take on characteristics of others too much 😅😅😅 that doesn’t always come across well"" but sometimes people blur the lines of roles.",1
"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof","""@BitchJones92: Time to show some appreciation! http://t.co/R37CejCjou"" woof woof",1
"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe","""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's making a personal choice",1
"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her","""@BlackNerdJade: Ok, sis."" She’d rather take a different financial approach? *shrugs* she’ll have to share how it works for her",1
"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol","""@BrokenPiecesmsc: @ItsNotAdam please read my tweets after that k"" it wasn't even funny lol",1
"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE","""@BrosConfessions: This person was so ungrateful http://t.co/06e77bGwbx"" fr ..... WOW",1
"""@CASHandBOOBIES: I been kidnapped yo bitch""","""@CASHandBOOBIES: I have been spending time with someone special""",1
"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo","""@CCobey: @AydanMcCoy happy birthday my friends"" Thanks yo",1
"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!","""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this person needs to relax!!!",1
"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h","""@CaelanG15: ""@22EdHam: @CaelanG15 that guy was enjoying that food lol"" Hell Yea lol John Paul"" someone mentioned John Paul.. http://t.co/OSIpBKPr9h",1
"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""","""@CanIFuckOrNah: What would y'all do if they stopped making make-up &amp; hair extensions?""",1
"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig","""@CarelessOne92: Leafs better win this damn game so I can go celebrate and enjoy #EarlyChristmas"" let's keep this positive and constructive.",1
"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""","""@CauseWereGuys: Going back to school can feel really challenging at times.""",1
"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old","""@CauseWereGuys: On my way to impress someone http://t.co/j906T5zE2R"" me as a 9 year old",1
"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard","""@CeleyNichole: @white_thunduh how come you never bring me food"" I don’t have a car to do that",1
"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople","""@ChadMFVerbeck: If Richnow doesn't show up with a group of friends, I'm not his friend anymore"" chill I brought like like 8 people",1
"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy","""@ChandlerParsons: How bout them Cowboys!!!!"" Let's keep it positive!",1
"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh","""@ClicquotSuave: LMAOOOOOOOOOOO this person @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;somebody seeking support with something serious.. hoping they get the encouragement they need",1
"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz","""@Coley_Cee: @lil_aerii girl you know I was spitting that G stuff to you &amp; you were going lbvs"" please",1
"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again","""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail."" lmao please don't confuse me again",1
"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""","""@ComedyPosts: Harlem Shake is just an excuse to act silly and have fun for 30 seconds.""",1
"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh","""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she doesn't need to act out just because she's ""emotionally damaged"" please understand",1
"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""","""@CoryBandz: having one loyal partner is wayyyyy better than being unfaithful, idc &#128175;""",1
"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;","""@Crhedrys: Focusing on positivity and mutual respect is essential for everyone #SpreadLove https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",1
"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands","""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those opposing NY fans in the stands",1
"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch","""@DGotBricks: What happened to the Vixen Ent ladies"" they moved on and chose different paths like any other journey in life",1
"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow","""@DaeDaviDavie: @white_thunduh I'm the one, okay nudes please 😊🐶"" wow",1
"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows","""@DiamondLoudKush: What is going on with these individuals?"" Nobody knows",1
"""@Dietrich1892: Yall shut up:p"" make me bitch","""@Dietrich1892: Yall shut up:p"" make me please",1
"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""","""@DionaIrish: I dislike when someone makes their pregnancy about unnecessary drama.""",1
"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3","""@DoYou_Q: Got messages in the DM but I don't ever read'em"" which is why your top 3",1
"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started","""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the passion began",2
"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""","""@Dommoneek: I do not associate with you, and that's my choice..""",1
"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL","""@DreadheadAri: she really asked me that very seriously though, all I could say was ""wait, what"" LOL",1
"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""","""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm both productive and resourceful.""",2
"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.","""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I face challenges every day but strive to make better choices.",2
"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.","""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They truly have a unique and magical presence.""",2
"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol","""@Ferocious_Ghost: @1stName_Bravo Aw."" ...please don't tweet ""aw"" to me lol",1
"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha","""@FloKid88: As long as the Lakers are not playing well from now on, I could not care less. And that's my honest opinion."". CC: @BENBALLER hahaha",2
"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot","""@Frosstyy_: @h0rheyd I didn't say anything tho"" give me a hug then friend",1
"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup","""@FunnyPicsDepot: this the ""I play soccer, focus on myself, and love wearing khaki-colored cargos"" haircut http://t.co/ZUai7qWBIR"" 😂 yup",2
"""@G27Status: I could go for a fat ass bitch on my lap"" same","""@G27Status: I could go for a fun and entertaining person to hang out with""",1
"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle","""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""That's your probation officer — people on Twitter are going to be saying #SupportMelle",1
"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;","""@GTM_Al: Your friend should understand that there are certain boundaries to follow.. if anyone asks, just say you're my cousin from Jersey considering a move"" lmmfao 😂😂😂😂",1
"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah","""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" absolutely true",1
"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh","""@GirlThatsVonte: Some people think they won’t face consequences for their actions &#128564;&#128075;"" ainna bruh",1
"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;","""@GirlThatsVonte: People with different hairlines often have a lot to say &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",1
"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit","""@GirlThatsVonte: Yall still going trick or treating this year or nah?"" hell yeah ima be the sweet tooth enthusiast and enjoy some fun treats",1
"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck","""@Girllssues: I want to express love and gratitude to my mom, as she brought me into this world"" it seems your account got compromised.",1
"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao","""@Gizzy_Jones94: If she kisses you with her eyes open, you should be cautious!"" lmfao",1
"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""","""@Goofstroop: You a woulda coulda shoulda type of person &#128563;&#128586;""",1
"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!","""@Gotti_LTF: Happy Bday my friend @JetsAndASwisher"" appreciate that, let’s celebrate and enjoy the day!",1
"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""","""@HBMostDope: @1Jayee @PipinHoes used to send that message up""",1
"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""","""@HBMostDope: Some people might say 'I'm my own WCW,' and that's fine — self-love is important!""",1
"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao","""@HaloTGMG: @1stName_Bravo man you know we play around."" ...nah, I throw no-look passes lmao",1
"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""","""@HeartlessFuck: Glad I'm getting outta Atlanta. It's just not the right environment for me, and I hope to find a place that better suits my goals and lifestyle.""",1
"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc","""@HermosaAlma: This isn't unconventional.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this no matter what",2
"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?","""@HiImJoriB: I would date someone with a different perspective only because we would have a mutual understanding of our actions."" ...why force the relationship in the first place?",1
"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu","""@HornyFacts: Being single isn't an excuse to engage in unkind or disrespectful behavior."" @TheOneMiss_Luu",1
"""@HoskinsTy96: White boy power bitch"" black power bitch","""@HoskinsTy96: Everyone has unique power and strength, and we should respect each other.""",1
"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.","""@Hudgens_11: Let's have fun, relax, enjoy some drinks, and good company!"" Bro, white dudes really know how to party.",1
"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?","""@IScoutGirls: @verbally_abrupt where have you been?"" Around the world and back. Where have you been?",1
"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *","""@ItsYahBoiRay: @anelylove if I don't have a great time at your party, I'm honestly going to make sure it's unforgettable &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *",1
"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""","""@Itsyesie: #oomf is soooo cute. But he probably has a lot of people interested in him.""",1
"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe","""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 helping others lmao. http://t.co/9uKD8wtZ6x"" lmao wow captain Helper",1
"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs","""@JReebo: Who wants to see these stylish socks then #scally #chav #sockstyle http://t.co/FeQxgN0W6I"" Cool socks and legs",2
"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do","""@JamesyNBA: I wish I was as cool as my brother Keezy &#128530;"" ooooow I bet you do",1
"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy","""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or creative",1
"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3","""@Jewelxo: Can pornhub just get a gaming stream feature so these individuals can enjoy it elsewhere"" @Pornhub get on it Katie&lt;3",1
"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH","""@JoeBudden: stop being scared to choke her during sex u should always ensure enthusiastic consent. She&#8217;ll like it."". Says the guy who promotes respectful relationships.",1
"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig","""@Johnny55Perez: @white_thunduh ha well iguess I make them people loyal bro"" they’ll never be loyal; that’s why they’re untrustworthy individuals.""",1
"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed","""@KazAtta: @1TAKEHOV Oh man.. ""it's 5 am, you should focus on making responsible choices."""" #fixed",1
"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""","""@KelsieBelsi: You're not showing respect if you refer to every girl with a derogatory term""",1
"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!","""@KeyshawnSwag: Lmfao this cat started playfully swatting at me"" my friend finally got some attention?!? MY FRIEND!!!",1
"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?","""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who said that song, not my favorite!""",2
