processed_tweets,class
pillow talkin to your hoe hatin on a nigga you might lose ya chick like that,1
rt i dont have time for these childish games just fight me bitch,1
lebron warm up jacket full then a bitch,1
rt stop following bad bitches and ya won t get spammed,1
rt so tony i think yr a rude little cunt and too too young to even know what real rock and rol,0
all he needs is a skirt sure looks like a bitch to me,1
we got a win my nicca lmao,1
i like how thinks i m talking to hoes hell nah lol my bad i forgot you ain t got hoes like vdawg do,1
rt if your friend is a hoe u a hoe too birds of a feather flock together,1
rt isn t ebola a type of soup naw nigga its a country my bitch is from there she ebolian,1
i gt android dmt kno whats in that box my nig,1
all y all bitches corny lol,1
rt when bitches talk about their bf,1
rt bitches would cheat on a nigga that give her everything she ask for and be loyal to shawty smh bitches ain t shit,1
about to be officially an old ass bitch,1
rt call my son nigger even respectable white ppl will be uncomfortable w you call him thug you probably can get off w,1
we can t trust these hoes fam,1
i m not delivering to that bitch boy anymore,1
snow day bitches lyrics gettin done n bud getting smoked snowday,1
done everything but trust these hoes,1
i m dumb then a hoe haha i already lost that thing ya gave me today,1
i m bout to hop off this hoe they tryna get on my ass,1
bitch,1
i d have to go off on a bitch,1
i m so excited to hang out with my bitches,1
leo get the fuck off of vine you fag,0
thick raw fuck damn his man pussy is getting a workout,1
i hate a nosey bitch like mind yah business,1
bitch i might be aesthetic,1
rt this vine still funny as shit to me how many niggers are in my store,0
rt somewhere out there a redneck is jerking off with a hand he ll lose in a firework accident tomorrow,1
on my way to fuck your bitch in the name of the lord mr race,0
xbox live fags,1
they played a great job who s the retard now,1
rt gotta keep these hoes on point,1
sup nappy headed hoe you got quiet,1
what up fake ass hoe i m not gone fought you today gimme my nigga hand back,1
never tell a bitch what u up to,1
rt my pussy is totes adorbs when she jumps on my bed with litter stuck to her the cat is fucking annoying when she does it,1
this uncle tom mother fucking wants to invoke a man in his speech dude you ain t white no matter how much,1
these hoes ain t loyal rt man thats the realest shirt i seen tonight a chick with a flip phone robbed me,1
rt when you re trying to relax but your pussy is shooting out light beams,1
gimme another beer bitch,1
i m not weird you re just a faggot,0
rt slow rap voice that bitch can suck my dick faster rapping voice that bitch can suck my dick,1
your a queer,1
if i see another bitch with a rolly bag ima diesel that bitch,1
rt good girls take months before they move on only hoes jump from nigga to nigga don t argue with me this is scien,1
nannie bitch don t talk to that hoe with ha extra bs ass,1
rt you ve been doing too much math homework hoe,1
fuck these hoes im gone,1
rt a boy won the scripps spelling bee by spelling knaidel used in a sentence i ll never get any pussy because i know how to,1
lol avila it s simple but i live in a pretty redneck area so it never gets pronounced correctly,1
rt i m that type of bitch to tell you i m on my way knowing i just got in the shower,1
rt awe hell nah me and are bad bitches come fuck with us,1
rt philly full of these type hoes broke bitches,1
so much hoes,1
home fag didn t feel like puttin up with your shit today,1
i know righttt rt i hate fat loud bitches,0
lmao did u really just call me a hoe lol yeah you hoe,1
rt lmfao hicks,1
all of yall stfu your all pussies and won t do shit,1
rt if there was an invisible celestial judge who killed those who spew hate on palestinians celebrities amp politicians would,1
rt fat bitches dont like liftin up they arms in the summer all that dampness cuh,1
we re a good match cuz we both retarded n weed,1
rt i bet its higher than that rt why do you think all women are hoes not all of us are hoes,1
under in miami is a keeper not hard to find them hoes just like to brain wrestle,1
george michael such a fag,0
ion care who my niggas date b if the bitch make you happy and you cool with her then do you,1
rt i know it was that dana whore if i get rid of them rn will you donate one to me that bitch,1
bouta let banko kno i m goin be a ronneagle bitch,1
why are teabaggers so interested in saving people who are muslim does syria have oil morningjoe,1
don t give ah fuck about ah bitch or ah nigga,1
i m a bitch nigga that hurts my feelings and i m like so serious,1
lmao let s hangout this weekend hoe,1
rt okay now i m going to krispy kreme for real fat bitch this nigga trying,1
rt the only girls that care about being a guys wcw are hoes,1
rt based on my starbucks drink choices i admit that i am in fact a basic bitch,1
you real quiet son made charlie is shit and steelers too loser,1
im tired of seeing this disturbing bitch with tits,1
i laugh at this bitch,1
bitch u bs how fck yah,1
he said that bitch look like a praying mantis tho ctfu,1
ion like the ho cause she talk to mf much with ha real butt ugly ass dumb young ass ho,1
got one bitch in economy and one bitch back in coach,1
im a rich niggaaaaa i need a rich bitch,1
i ve decided that bullsnation are retarded love,1
this world needs a build a bitch workshop,1
rt pick one the girl behind the bar who ain t being a hoe,1
don t pay dem bitches and they dirty ass chucks no mind bro,1
remember can be a bitch stop to drink if you get stalled wib advice,1
beans u beaner,0
lol my porn name is master licker wtf y i gotta have dat bitch ass name,1
rt im a faggot,1
i trusted you queer cakes wheres the passion she made me do it dammit,1
this bitch literally just said normal people shouldn t work out in this gym because so many body builders workout here,1
fuck the church you attend fuck your god fuck the nigguh you call the savior it s a fucking new world order baby,1
you lucky ashit if you got the shawty you want a niggah just tryna keep her,1
wyd fag,1
rt i have absolutely no hoes,1
i m not even shy stfu kikis mom hi angelique angelique smiles dips cracker in soup,1
rt what s with all these pussies turning themselves into yu gi oh cards lately,1
yo ugly ass eyes havin ass bitch,1
there s no one to flirt with mad bitches in my inbox skrr skrr,1
man kills mother of after she reveals she s hiv positive after having sex that bitch deserved it,1
kobe bryant is such a bitch grow up pussy,1
too many pretty bitches got the sore throat voice mostly red bones turnoff,1
rt niggas be in your messages like amp be on twitter like fuck bitches come on nigga which one you gone be drake or,1
you dammn weed potheads are annoying af on twitter weed and pot are the same thing faggot,0
over bitches trying to act like i own them a picture,1
rt whatup wyd b chilling in the square wbu bitch wat u,1
always wanted to fuck that bitch thank you god i fucked that bitch,1
watch yo hoe,1
just remember when having standards becomes cool again im gonna call a lot of you out for staying quiet like a bitch all this time,1
hoes get in this bitch talk about irrelevant shit,1
rt no officer i wasn t drunk driving i was swerving on them hoes,1
i can tell from this tweet that you re a twat,1
why do i have the worst bm in the world smh this bitch the devil,1
rt toss em out of office or just throw em in the trash trashbucketchallenge has politicians on the run at,1
i love racism blame whitey for everything now that you mention it i bet the white man put the desert tortoise on bundyranch,0
rt bitches tweeting relationship goals w no man job or real desire to stop being a hoe or partying every weekend jus a iph,1
might have to play the b k tonight for my black hoes you know i still care about yal,1
rt these hoes be acting up,1
of the washington post to call the president ignorant i ask you racist angry bitter bitch look in the mirror,1
rt the ones we really like we can t get but if you got the one you really like then you a lucky bitch,1
bitch wake up,1
rt nigga when from can i get a hug to i got hoes b,1
okc nigguh,1
rt rt it used to be a shame to be hoe prostitute with social media they call it hustling lol,1
coming to the rescue of some retard licking dirty skidmarks on the internet you guys are fucktards,0
gay ass nigga bitch you thought you thought,0
rt i m a crazy bitch fml,1
rt actually i take that back you niggas ain t loyal im loyal fam nah negro nah,1
fight or nah dumb bitch,1
niccas be gassing hoes they never gone pop smh prolly never gone meet her wastedenergy,1
i copped a uzi but i need some bullets for that bitch,1
fact females that tweet all the dayum day r hoes that need attention ijs wontgetme,1
rt i only be looking like i m fucking bitches i don t tho,1
ayee ayee it s my snow niqqa amp amp it s for my bitches to slide to my crib,1
controlled the aux cord the whole two and a half hour drive home and didn t repeat a single song bet your boyfriend couldn t do that bitch,1
make the most of what you have don t tell me what to do bitch,1
rt when you die but a bad bitch walk in yo funeral,1
rt bitch nigga qualities is all you can provide,1
sitting here talking about what u would do or gonna do that s something my bitch does,1
rt why y all ain t tell me young thug nails look better then mine lol fckin faggot,1
whaaaaaat lmaooo that s why i luv u fat bitches cuz y all got some big ole titties and phat booties,1
lmfao custy bitches be like come on in,1
watch my twitter bitch,1
good girl is worth hoes,1
rt listen here bitches cheat on they bitch but be soooooo hurt when they bitch cheat back,1
it don t matter where we at this nigga always tryna holla at a bitch where y all at,1
get this nigguh of this streets,1
bitches need guidance lol,1
my lil cool ass bitch she from northside,1
rt you bitches with a cup boobs need to stop wasting money on bras and just buy some tank tops like the rest of the homies,1
will you sell that pussy for me,1
there s like injuries a game in football shit trash lol,1
rt fuck a nigga and a bitch,1
rt lauderdale that s where the hoes at,1
i didn t know my nig g eazy had reached a million views on one of his songs haha that s crazy,1
fuck olive that bitch,1
i swear this is just disgraceful like a bitch line a really be dry all day i ll only get emails from pacsun,1
rt half of it will be about how you became ghetto in compton,1
lost a couple online matches in nhl bitch hit me with her car dad ate my pizza just one of those days,1
rt when i feel like he entertaining these hoes i just fall back even harder than before,1
rt this bitch possessed by the thot demon,1
i only respect bitches that respect theyself truu,1
i m not gone see your baby monkey lil ass anyway funky ass,1
you say no to ratchet pussy juicy j cant,1
if you can t get pussy without lying to a girl you wack don t hate appreciate,1
rt bro even with uno webo i still get more pussy than you,1
you re a bitch,1
bitch look like she gon blow away fr,1
only yrs till next pres bitches bout what o dumb a left her him,1
im just a young niggah out here chasing ins til im in the driver seat of my benz,1
been sleeping toooooo much fuck it ima enjoy it before i start working jobs like a hoe haha,1
rt the only thing that cunt talked about was me crying about the traffic jam knows nothing abou,1
i need of the bitches,1
i love you hoe hahahhaa uglyass,1
not to yall thou yalll fucking glad bag trash,1
rt these bitches so fucking stupid smh,1
i like that your room isn t a big sloppy mess like most of these twitter hoes,1
rt welp rt the prettier bitch usually loses lol this is science,1
smoke summm bitch,1
you re all faggot fuckheads,0
busted my lip playing ball so now i can t enjoy pussy and this delicious mango,1
i wish people could just be straight up with me don t be a fake bitch to me because i m not a fake bitch to you or anyone actually,1
fuck your redskins bitch,1
rt my bitches got pretty pussy,1
money hoes cars and clothes,1
you a hoe if you take a taxi to the club,1
you tall tree ass females be talkin bout catching feelings bitch you need to catch this touchdown,1
rt lmaoo bitch what,1
you bitch like to text emojis,1
rt niggas gossip like hoes i m sleep tho,1
don t fw sloppy hoes you might catch somethin,1
if you don t say thank you after someone holds the door open for you you re a bitch,1
we single cuz only hoes are left all the good ones taken lmao lt any female on the tl thats single you a sno bop,1
yo bitch choosin just let her,1
my hoes trippin lol,1
kae amp chris coming for yall bitches as a couple,1
rt i never bought a bitch,1
obama is a bitch his speech was pure politics for mid terms only way we destroy isis is with troops on the ground,1
idk where this nigga jus went but he better find me some food before i become a real life bitch,1
nice pussy,1
didn t i just say i thought u told me to delete them so i deleted them bitch,1
rt i hate a dumb bitch,1
wow the whiggers at the tea party nation banned me i didn t even use any bad words maybe my racist founding father quotes did it,1
do your dick hang low do it wobble to and fro can you tie it in a knot can you stick it in a hoe,1
my god mother thinks im a stoner because she has someone watch my tweets lmfao no ya boy clean as nikki minaj pussy,1
stupid bitch,1
holy fuck they some bomb ass bitches at buc ee s,1
my manager is retarded bruh always asking siri some spellings this nigga is dum af doe,1
the solution is simple buy a bitch,1
gave that bitch an e pill bitches love fucking wit they ex,1
stop being a pussy,1
nawwww if you a hoe you sittin on the floor and not my damn couuuuuch but your birthday is in feb or naa nope,1
dudes shaving without it being for an athletic purpose is gay af you re retarded,0
bitch in the middle look like a daddy long leg,1
ya bitch aint bad nigga u aint got no taste,1
give them bitches good head i can assure you they will be back,1
rt everybody turning into assholes this year look what you ve bitches have done to us,1
julius peppers still seems retarded,1
rt don t curve the man today in whom you may need to eat your pussy tomorrow,1
i hate a wishy washy bitch,1
rt i want a real relationship no games no lies no side hoes just me and you,1
bitch u lame as fuk lol,1
rt wake up you dumb son of a bitch,1
rt look at this faggot,0
abed looks like he has to take a shit bro pic brolic boyswhotakepicsinsuits tie swag hoes on us,1
work nigga fuck work it s friday bitches fuck friday all about saturday tomorrow will be epic,1
rt lame bitches always wanna try play a real nigga like a lame bitch das how u get treated n cut loose,1
jet lag a bitch,1
slid bitch,1
i remember them bitches lmaoo,1
the truth hurts nigguh,1
rt she s a sapiosexual i had a jimmy neutron brain blast showed her i m an intellectual and put the pussy on the chainwax,1
rt phat pussy is the best pussy,1
rt y all boyz was fried fuck dat pussy nigga in the blue doe,1
rt when you eat the pussy so good she can t control her moans,1
thank god fob didnt come back doing some shitty arena tour iwaited yearsforfobandiallgotwasthisshittyarena sykeeee,1
rt ugly hoes be the loudest u need to duck off amp hide yourself frfr,1
lol always with the complaining and crying just like when jeezy broke up with you cause your a moaning old bitch,1
i ve been knowing fag,0
ion know why this bitch insists on telling me where she be going now idgaf about chu bitch like damn,1
the only place for a ho in the garden,1
you call someone a faggot and then say to kill themselves you are a pathetic human being a fucking disgrace,0
not that it s tit for tat but we don t say shit to our boy just like you don t check that insufferable bitch you call a best friend,1
fuck wit us and we tweakin hoe,1
girls be like i love you babe lt bitch isn t that today,1
rt resisting the urge to smack a bitch,1
searching the incredible story of white man s quest to find the ingredients necessary to make caribbean jerked chicken in redneck land,1
i really committed to fucking with the richest of bitches,1
nah they would probably call you out for being the obsessed faggot you are also nice try though,1
ugh like i hate when my momma get to talking all proper like bitch stfu,1
lol that s basically like the you got too many hoes curve,1
lame niggaz wait in line wait for bitches wait to create wait for someone else to do shit for them,1
got my bitch in her whip coming to pick me up,1
fuckin moulinyan,1
them queer ass shorts rabchenko got on,0
bitch and who the fuck r u am speak when the fuck i feel like it and stop a pussy ass nigga and box the fuck up,1
rt if a dude seems flighty then he probably is so just nip it in the bud,1
the karate kid is such a pussy,1
bossd up on my old hoes,1
i dont even need a picture of tamar that bitch is beat in every picture,1
rt the streets ain t going no where these hoes for everybody when you got someone real you hold on to them,1
thus you have the term redneck also the creator is not mocked good for you excellent precept daughter,1
u know u watch too much gay porn when u refer to boy butts as man ass or boy pussy bc me in my head,1
rt im a pimp tho no limp hoe,1
no one goes into psychiatry to help people those people are all immoral everyone who works in that field is pure trash,0
bitches be hating,1
listen cuntrag whore bitch shit be expensive as fuck man we had to do pr first that one year this year was the wedding so,1
detroit nicca but i m good in the a,1
big black bitches out here arguing,1
rt im sick of bitches bitching about other bitches,1
rt bitch do it look like i care n o o o o o o,1
with my bestf shyanna pen and ma main niggah ronnie a jackson iii movie bound after we pick up the homies,1
rt after these shows yall bitches imitate n wonder u i say d things i say,1
damn they act like bron tore his acl toughen up bitch lol,1
rt you gotta be able to keep a bitch on her feet or she ll be on her knees with the next nigga,1
taking off like a bitch bra,1
rt on the low rt they re really looking for the next bitch to smash,1
this time a night dark skin niggas really turn into lightskin niggas i swear i seen a darkie try buying starbucks mins ago but they closed,0
rt retweets the most random shit just cause a bad bitch tweeted it,1
don t throw me the pussy let me come get it,1
i love how everybody bitches about heat fans when we win but if they lose all the haters are x more obnoxious,1
wtf u think u ole pussy ass nigga,1
uh oh rt control yo bitch if you don t want her in no shit it s that simple,1
i like bitches with,1
i tell u this tho if when u nigger women start getting cornrows again mannn just don t do it,1
x x rt fat bitches with normal sized legs be looking like car keys,1
this niggga said i be branding bitches,1
wiz lost his bitch to this nigga ain t no weed in the world strong enough to help him get over that,1
lls omg omg me too getting harrassed by my bby father smh on ig tlk bout hw mch he miss me bitch please,1
i donated both of my very expensive prom dresses to teens who couldn t afford to buy one don t be a selfish bitch,1
i got good credit so my bitch credit gotta match mine,1
pussy,1
rt i use the word cunt very loosely,1
people gotta learn to appreciate the people that go out if their way to help you even if you don t want their help don t he a bitch,1
for every bad bitch there is a nigga tired of fucking her,1
rt rt when you and your boys discover a hoe,1
but no one calls him a pussy for his injuries,1
after weeks straight of that nigga being you mcm we get it bitch y all fucking,1
i have an open mind and that bitch beyonc is crazy,1
rt suck my duck thot lol looks like ur autocorrect changed dick to duck i meant what i said bitch,1
fb hoe lol damn next time be nicer lmfao,1
rt u might be a faggot if u pull outta the pussy to bust bro,1
rt america is like a drunken redneck flailing his fists around raving incoherently he s kind of funny but also you r,1
nobody on planet earth more protective than bull dykes,1
who is this we i dont love hoes,1
rt trash talked by many hated by some guess how many fucks i give its less than one,1
no rt lmfao those trash tho rt candy corn j s sirhampton these hard,1
whoooo lemme find out a bitch run u haha,1
rt that moment the pussy too good amp u gotta slow that stroke down,1
playing with my money is like playing with my emotions niggas don t believe i guess we going to find out then hoe ass niggas,1
happy birthday queer,0
okay bitch listen up this is important ur eyebrows should not be a centimeter apart,1
let these hoes be great,1
eat her pussy nd look at her like this,1
rt jimmy graham is one ugly son of a bitch,1
bitches,1
y all ain t gots no colored folk on da show i tinks dats be racist and shit thetoddshow,1
yeah way to block me fag your scared you go and hit girls how tough does that make you tough enough to know i d beat,1
rt one who can t keep his bitch rt what kind of man can t parallel park,1
i would never fight a nigga for vagina that s what hoes do lmao,1
first chick to bring me some hash browns from waffle house right now will get her pussy ate,1
dumb ass bitch i swear,1
rt the way this niggah just flinched at this movie was priceless,0
where your white hoes at bro lol,1
ight bitch ima see u,1
lil wayne has fucked every bad bitch in the game,1
never go full retard,1
wonder if they gon have em for the low on nigger friday,1
we are back bitches,1
uh you re trash,1
lover old bitch,1
rt i m a cool ass nigga lbs it s rare if a mf don t like me nigga you either hating or mad cus yo bitch choosing,1
leave you beaner retard,0
honestly i just do it for the bitch mob,1
rt y all bitches sending inviatations to the wolves than get mad when they at ya door,1
fuck them texts it s a movement lmaooo courts texting rubbed off on me she used to be bitch bout it tho,1
falls in that pussy like quick sand,1
nigga i wus graduating rt if you wasn t in the th grade in you a hoe,1
rt you disrespected my hoeing pimp slaps hoe in the telly for talking back bitch,1
rt rt ao got bitches at home scrolling ig like,1
porn android iphone ipad sex xxx hiddencams amateur boy fucking bitch hiddencam,1
i was raised the person that uses a gun and cant take an ass whipping is a pussy,1
bullshit i guess the poor have all the money tax money movers at same rate as working people you teabaggers are traitors,1
porn android iphone ipad sex xxx xxx homemade pussy eating,1
rt years of racism and they think nigger hurts my feelings lol white people are funny,1
this bitch at the gas station offered me head for,1
talk alot of shit but if i want ill put u on the spot so don t test me bitch,1
crying over a guy on thanksgiving nah bitch pick your head up you making the turkey soggy thanks a shanni pats turkey dry,1
that bitch got k followers but drive a honda,1
niggas only get fucked up only on weekends and i get fucked up daily bitch i still do it bigger not on my level,1
rt lol foreal yo rt lmao i fucks with amp real talk them bitches know h,1
rt lol rt nigga like damn why would this bitch do this i helped your family move and the dryer almost fell,1
when lifes got ya down you just gotta get back up and pimp slap that hoe,1
nah i definitely gotta find me a bitch to drive me around in my whip while i m drunk to this ty dolla ign tape b it s only right,1
i fight for what i love but you make something of bitches i think nothing of,1
rt girls wanna hoe around and turn up but gone regret the shit afterwards,1
chase money not hoes,1
bitch my mom didn t call you,1
and because it sounds like there is no prenup he s gonna cash in not her he apparently has ghetto credit magine that,1
fucking hot boots who doesnt love a boot boy lick those soles clean,1
alibaba jack ma gotta love a guy who beat meg whitman s albino ass back to the us freakin commie genius,1
say what ya want but if i m single and i have the opportunity to have a dick in my ass and pussy at the same time i ma take it,1
rt drake said it best when he said niggas act more like bitches these days,1
yo i miss you ya cunt,1
rt bitch i know you got games on your phone,1
that s white woman pussy,1
rt migosconcert was turnt af last night but shut that bitch down wit hotnigga frfr,1
tell a itty bitty bitch pipe down,1
basically we ain t got room for basic bitches,1
did i mention you are an ugly cunt go back to iran,0
rt yeah right queer the only piece of ass you ve ever got is when it finger broke thru the toilet paper,1
give me head an kiss yah nigga u a ill bitch,1
uncle tom ass muhfuckas,1
lol bitch yo display name,1
rt who wants to chill on campus w me amp throw bibles at bitches taking the walk of shame,0
glad i bossed up on my old hoes,1
yess bitch messyyy,1
rt that bitch had to pull my hair to win rt lol so what do you tweet if you lose,1
say what you want about but that bitch has pipes,1
this bitch lmao steve wilkos be goin on mfs,1
in my opinion lhha is a spot on description of how some of atlanta is dumb hoes and niggas ratchet broads and stupid arguments,1
i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck,1
lmao madonnas music sucks yeah you re fucking stupid if you think gaga is better retard,0
rt ion feel dese nihhas or bitches,1
that was me trying to be mature about the subject what kind of fucking pussies are you to bitch about a satirical tweet against asians,1
rt lmaooo the cleveland g n sent drose to hell last night in his own home and this faggot disappeared,1
rt i swear to god whitney is a regina george wow im a bitch,1
bitches talk hoes talk even more,1
deez fat hoes kill me i ain t seen this much crack since they locked meech up lmfao,1
rt you notice that im the real them other bitches is wack,1
fucking faggots aren t from or live in dc maryland or va,0
you still needs to give it to me bitch i m on youtube and rhapsody with it ya cock,1
nigga be safe hoe,1
aye it s a lot of niggas out here that can t fuck a bad bitch unless they get her drunk smh preach,1
lj hoes,1
you ain t got no job no diploma no money bitch at your parents when they don t give you money for weed yet we need to act like adults,1
bitch you frooooontin bitch you frooooontin lol,1
rt lowkey called that faggot a faggot,0
cruisin round the street in my jockin the bitches slappin the hoes,1
bitch get that job first,1
rt i was in her while her nigger was in there makin dinner,1
no paper hoe but you can have some more of me,1
rt big dreams cause that small goal shit is for the birds,1
update three arrsted after german gay guy left in critical condition after being fag bashed in belgrade,1
nigga fuck you some plano schools go hard then a bitch way better than richardson,1
your ex wife s pussy tastes like sweet butter theshield,1
rt i m one of those faggots who hates the word mines,1
rt you got niggas amp i got bitches,0
rt when a bad bitch asks you to come over,1
rt say dat shit again rt bad bitches hate broke niggaz but you knew that already,1
rt ps a big booty hoe with tig ol bitties xbox one pancake booty hoe with pancake tits,1
things i cant stand while dealing with a bitch a hit feet b stank ass breath c skank ass ways,1
i m really nice but a bitch at times,1
spiff tryna hoe,1
niggas living like hoes dats why dey dying bout nothing,1
my cousin said he share hoes with his brothers he said sharing is caring and he love his brothers,1
rt hood hoes love harrell football team,1
fuck that hoe thats exactly what dese hoes doin gettin fucked nd yall niggas the one to blame,0
lmaoo i think i want this bitch ya me tiene cansada but thanks wait hold up who u fighting,1
crazy bitch i like the way you ride this dick,1
rt fucc hoes dats how i feel,1
rico be bored then a bitch damn boy you watch me more than these hoes do,1
rt lawd twitter will humble the fuck out of a hoe so quick,1
lmao trifling ass bitch,1
thats just me rooting against a team i hate not banwagoning u retard u have a different favorite,0
pussy put yo ass to sleep now i m calling you nyquil,1
when they bitch about carbon emissions tell them to stop breathing because exhaling adds carbon dioxide to the atmosphere,1
if only there was a medal for that we hate fags but we won t kill them medal thank u for the privilege to let fags live,0
most them niccas i thought was real tried to derail me,1
the nerve of these hoes,1
pisses me off so much when brett screams fag or whore out the window at people,1
no i don t love these hoes and fuck these niggas fuckem,1
the tl talkin about eatin pussy and u watchin soccer ur a grade a faggot rt this game is crazy,1
nice ears bitch you look like a god damn elephant,1
it s gotten to the point where i literally don t care and i m gonna start punching bitches if they don t move in the hallway,1
what s up my bitches shout out from your momz in cali keep doin what u do loveit,1
might need you to pummel a bitch,1
mmmm sure dont seem like it lmfao but yess ill be that bitch now are you done,1
rt wetin happen our school will just be behaving like pussies,1
rt well there s crazy bitch and there s you can look for that motherfucker s corpse but you won t find,1
correction he better bring one classy bitch home because momma ain t going to be dealing with random hoes in the house,1
lmfao bitch was i talking to you,1
cute japanese teen gets her tiight pussy fucked while sucking cock,1
dope in the bag pretty bitch on the side,1
god bless the dumb niggas who trust these hoes,1
you guys are all faggots,1
hate a female that got the mentality of a niggah,1
rt i woke up with a sore throat im cold niggers will be niggers so terrible,0
what about the doc he s a pussy he ain t going anywhere,1
that s not how you resist you worthless retard do you need a dictionary,1
omggggg nigga said jerry black bitch,1
all my white school teachers back in elementary knew not to give me no pussy i m telling all of my niggas,1
it s bitches need to be ready for the d fellaz don t play they games let that high school tease shit last a day swag,1
oh you sneaky son of a bitch you,1
rt fuck michigan too many wanna be thugs if you ask me y all pussy i m out this bitch next year,1
ruga bussed yo bitch bowbow,1
if she dont appreciate that and say yes the bitch aint real,1
that nigguh will never play football again,1
rt fucking pussy that s why exactly let me the nigga were talking about,1
dawg what the fuck happened to so and so where did they go too worried bout bitches and fashion they go missing in action,1
imma bitch i know leave me alone,1
rt if this bitch don t just go through the freaking packet,1
rt bring winter back this degrees at am shit is for the birds get the fukkk outta here bro,1
rt gimmmmmie a hoodrat bitch,1
she s wearing the same shirt what a bitch,1
audio happy valentines day bitches now play this while you get laid,1
did you smile like a retard when you were a kid it took me till like th grade before i learned how to naturally smile,1
thought to myself sheeba sheeba got my ass lookin like a zebra,1
rt lmaoo rt that s a legal tackle faggot rt seriously,0
rt you put my number on blocklist how can i stop this convert them mfs i ll make all them hoes topless,1
oh it was multiple dna on ol girl man they ran a train on that hoe,1
unpredictable is an excuse for retarded,1
dirty hoe,1
ain t trusting no bitch or no nigga hoe or no sucka,1
girls the days be confused hoes ain t nobody got time fo that,1
can t keep a shallow bitch if ya pockets ain t deep,1
all i see is bruno s bitch ass on my twitter now wtf bruno s all that she sees drake voice,1
bad bitch with me trying to blow me like a fuse,1
rt man most of you coons couldn t jus up in quit yo job if you found out ya boss racist so shut tha fucc up niggas love,0
perfect smoking weather haha bro i ain t even in my hood yet and i already got hoes trying to say was up from other towns,1
ima knock the pussy out like fight night,1
bitch yu not safe,1
waaaaittt niggah holllll up these niggahs come to town start wife n my old sluts,1
just fuckin roasted this faggot,0
that bitch should be in jail for that,1
i like good weed i like bad bitches that can roll it,1
my mentions amp tl moving fast af sorry if i m flooding yo shit i m lowkey tryna get off this hoe for yall,1
me and my homie rockin that bitch all night meetushere now,1
rt lmfaoooooooooo trash ass falcants rt lmfaooooooooooo ya stink,1
rt don t ever be afraid to double bitch down ppl always expect you to be like i m sorry if i got loud or i m sorry to s,1
rt anyone and everyone can have my ex fuck that hoe,1
holy shit the retard episode of wheel of fortune again fantastic,1
then the mexican bitch wanna speak some other fuckin language amp then give attitude can t speak right ass tf,1
i b so quick to dub a bitch it s sad,1
guess who s a little bitch,1
rt niggas tweet about wanting a good girl while giving hoes attention all day,1
now bitch you know lmaooo,1
rt bitches be in th grade talking about i miss bae naw bitch you missed graduation,1
lol that hoe for yr old,1
why yall bitches be havin stretch marks on yall upper ass,1
